RUTA_RELATIVA,TIPO,TAMAÑO_BYTES,FECHA_MOD,CARPETA_CATEGORIA,CATEGORÍA,PRIORIDAD,ESTADO_ESTIMADO
".chatgpt/approved-prompts/README.md",md,129,2026-07-30,.chatgpt/approved-prompts,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/CANONICAL_MEMORY.md",md,669,2026-07-30,.chatgpt,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/checkpoints/CHECKPOINT_TEMPLATE.md",md,197,2026-07-30,.chatgpt/checkpoints,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/continuity-packets/CONTINUITY_PACKET_TEMPLATE.md",md,304,2026-07-30,.chatgpt/continuity-packets,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/conversation-exports/README.md",md,286,2026-07-30,.chatgpt/conversation-exports,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/conversation-summaries/CONVERSATION_SUMMARY_TEMPLATE.md",md,247,2026-07-30,.chatgpt/conversation-summaries,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/CURRENT_STATE.md",md,1660,2026-08-01,.chatgpt,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/DECISION_REGISTER.md",md,1002,2026-08-01,.chatgpt,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/PROJECT_CONTEXT.md",md,756,2026-07-30,.chatgpt,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/README.md",md,904,2026-07-30,.chatgpt,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/UNRESOLVED_REGISTER.md",md,512,2026-07-30,.chatgpt,"Memoria ChatGPT/Claude",MEDIA,vigente
".chatgpt/working-prompts/README.md",md,127,2026-07-30,.chatgpt/working-prompts,"Memoria ChatGPT/Claude",MEDIA,vigente
".codex/README.md",md,570,2026-07-30,.codex,"Configuración Agentes",MEDIA,vigente
"AGENTS.md",md,2274,2026-07-30,.,"Documentación Raíz",ALTA,vigente
"AI_Workspace/README.md",md,414,2026-07-30,AI_Workspace,"Workspace AI",MEDIA,vigente
"Backup_Tooling/integrity-checks/INTEGRITY_CHECKLIST.md",md,480,2026-07-30,Backup_Tooling/integrity-checks,"Infraestructura",MEDIA,vigente
"Backup_Tooling/README.md",md,349,2026-07-30,Backup_Tooling,"Infraestructura",MEDIA,vigente
"Backup_Tooling/restore-procedures/RESTORE_CHECKLIST.md",md,554,2026-07-30,Backup_Tooling/restore-procedures,"Infraestructura",MEDIA,vigente
"Backup_Tooling/scripts/README.md",md,769,2026-07-30,Backup_Tooling/scripts,"Infraestructura",MEDIA,vigente
"CHATGPT.md",md,853,2026-07-30,.,"Documentación Raíz",ALTA,vigente
"CLAUDE.md",md,737,2026-07-30,.,"Documentación Raíz",ALTA,vigente
"Governance/README.md",md,308,2026-07-30,Governance,"Gobernanza",MEDIA-ALTA,vigente
"INSTALL_WINDOWS.md",md,821,2026-07-30,.,"Documentación Raíz",ALTA,vigente
"Knowledge/Books/Accounting/Contabilidad-Financiera-Intermedia-final---2023.pdf",pdf,6111610,2026-07-27,Knowledge/Books/Accounting,"Contabilidad y NIIF",ALTA,vigente
"Knowledge/Books/Accounting/Fundamentos de la Contabilidad Financiera.pdf",pdf,348751,2026-07-27,Knowledge/Books/Accounting,"Contabilidad y NIIF",ALTA,vigente
"Knowledge/Books/Accounting/Introduccion A La Informacion Contable EstimacionY Aplicacion Dr. Jumah.pdf",pdf,1460786,2026-07-27,Knowledge/Books/Accounting,"Contabilidad y NIIF",ALTA,vigente
"Knowledge/Books/Accounting/Memento Práctico Contable 2022.pdf",pdf,181484,2026-07-27,Knowledge/Books/Accounting,"Contabilidad y NIIF",ALTA,vigente
"Knowledge/Books/Accounting/Principios_de_contabilidad_4ta_Edicion.pdf",pdf,4079232,2026-07-27,Knowledge/Books/Accounting,"Contabilidad y NIIF",ALTA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/1 Tenant/tenants.txt",txt,759,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/1 Tenant,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/1. Arquitectura conceptual de GYPPO.txt",txt,1648,2026-07-25,Knowledge/Books/Base_Iincial_GYPPORT,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/1. Arquitectura conceptual de GYPPORT 002.txt",txt,1990,2026-07-30,Knowledge/Books/Base_Iincial_GYPPORT,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/10. Auditoría/audit_action_types.txt",txt,272,2026-06-02,Knowledge/Books/Base_Iincial_GYPPORT/10. Auditoría,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/10. Auditoría/audit_logs.txt",txt,819,2026-06-02,Knowledge/Books/Base_Iincial_GYPPORT/10. Auditoría,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/10. Auditoría/security_logs.txt",txt,541,2026-06-02,Knowledge/Books/Base_Iincial_GYPPORT/10. Auditoría,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/2 Catálogos/catalog_groups.txt",txt,354,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/2 Catálogos,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/2 Catálogos/catalog_items.txt",txt,601,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/2 Catálogos,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/2 Catálogos/catalog_item_translations.txt",txt,418,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/2 Catálogos,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/3 Geography/countries.txt",txt,201,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/3 Geography,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/3 Geography/currencies.txt",txt,233,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/3 Geography,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/3 Geography/geo_locations.txt",txt,1378,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/3 Geography,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/3 Geography/geo_location_aliases.txt",txt,369,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/3 Geography,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/3 Geography/geo_location_translations.txt",txt,729,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/3 Geography,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/3 Geography/geo_types.txt",txt,614,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/3 Geography,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/3 Geography/languages.txt",txt,172,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/3 Geography,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/4 Party/parties.txt",txt,1244,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/4 Party,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/4 Party/party_addresses.txt",txt,773,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/4 Party,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/4 Party/party_contacts.txt",txt,691,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/4 Party,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/4 Party/party_relationships.txt",txt,690,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/4 Party,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/4 Party/party_roles.txt",txt,596,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/4 Party,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/4 Party/party_tax_profiles.txt",txt,721,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/4 Party,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/5 Organization/organizations.txt",txt,607,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/5 Organization,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/5 Organization/organization_tax_profiles.txt",txt,986,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/5 Organization,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/6 SRI Ecuador/document_sequences.txt",txt,821,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/6 SRI Ecuador,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/6 SRI Ecuador/emission_points.txt",txt,622,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/6 SRI Ecuador,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/6 SRI Ecuador/sri_establishments.txt",txt,777,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/6 SRI Ecuador,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/7. Branch/branches.txt",txt,1327,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/7. Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/7. Branch/branch_addresses.txt",txt,678,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/7. Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/7. Branch/branch_contacts.txt",txt,487,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/7. Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/7. Branch/cost_centers.txt",txt,513,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/7. Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/7. Branch/departments.txt",txt,647,2026-06-02,Knowledge/Books/Base_Iincial_GYPPORT/7. Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/7. Branch/Parte 7 ALTER TABLE branches ejecuta al final de todos lo branchs.txt",txt,142,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/7. Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/8. Employee/employees.txt",txt,1463,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/8. Employee,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/8. Employee/employee_branches.txt",txt,520,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/8. Employee,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC)/permissions.txt",txt,384,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC),"Base Inicial GYPPORT",CRÍTICA,vigente
