doc_id,lote,tipo_registro,archivo,titulo,autor,edicion,idioma,paginas,bytes,sha256,dominio,integridad,completitud,calidad_documental,nota_calidad,texto_muestra_caracteres
DOC-000001,SET-BASELINE-0001,baseline,GYPPORT_AI_DEVELOPER_ENGINEERING_STANDARD_v1.1 (4).md,GYPPORT AI DEVELOPER ENGINEERING STANDARD v1.1,ISAGRUB CORPORACIÓN C.L. — GYPPORT®,No indicada,ES,N/A,77518,a88794bd4621fbc3f56b33cb594d66a5c52ca9cb239134114933635db98d6789,Arquitectura empresarial y gobernanza,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,Archivo de texto íntegro y extraíble.,76144
DOC-000002,SET-BASELINE-0001,baseline,GYPPORT_PLAYBOOK_CREATE_PRODUCT_BACKEND_API_v1.0 (3).md,GYPPORT PLAYBOOK CREATE PRODUCT BACKEND API v1.0,ISAGRUB CORPORACIÓN C.L. — GYPPORT®,No indicada,ES,N/A,12535,19285e55f089b420d074525877cd061c9a9a4905abc02d30fb40fbf6b1769576,Arquitectura empresarial y gobernanza,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,Archivo de texto íntegro y extraíble.,12300
DOC-000003,LOT-PRE-0001,source,Design Is a Job(1).pdf,Design is a Job,Mike Monteiro,No indicada,EN,157,583235,454c412f379d41b0890e75a5ffcbc92535afb38df36eae4ace1e18a253406537,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",10979
DOC-000004,LOT-PRE-0001,source,SQL Performance Explained de Markus Winand(2).pdf,SQL Performance Explained - Everything developers need to know about SQL performance,Markus Winand,No indicada,EN,207,1252662,c73256b8ac855e06348d607a603215909c463d0f4580f4cab6e49ee102ccd234,Base de datos y sistemas distribuidos,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",12036
DOC-000005,LOT-PRE-0001,source,Don't Make Me Think (de Steve Krug)(1).pdf,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,No indicada,EN,257,15050766,c1e23aace4efcb7fde911c24690fc39687e968d1e36ddcedc6912426b034d91c,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",6147
DOC-000006,LOT-PRE-0001,source,Designing Data-Intensive Applications de Martin Kleppmann 2017(2).pdf,designing data intensive applications,No identificado,No indicada,EN,491,4377248,905e1348c2b7955a3e799998ce9b45993b5c8cfa9ef6b93931af7a780b71ac02,Base de datos y sistemas distribuidos,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,MEDIA,PDF íntegro; metadatos incompletos o texto parcialmente extraíble.,7432
DOC-000007,LOT-PRE-0001,source,Refactoring UI de Adam Wathan y Steve Schoger(1).pdf,Refactoring UI de Adam Wathan y Steve Schoger,No identificado,No indicada,EN,252,55665277,c6df5ef9c14f153a301bfcc663d88167c8b90e5a94fe340b6f009c114a7b9d2e,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,MEDIA,PDF íntegro; metadatos incompletos o texto parcialmente extraíble.,6532
DOC-000008,LOT-PRE-0001,source,About Face (de Alan Cooper)(1).pdf,About Face,Alan Cooper,No indicada,EN,722,32966872,8cacd91ab4f8f165c2d84af551405f26de781dffaaaef7fd3f21c9ff9e9676c5,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",7857
DOC-000009,LOT-PRE-0001,source,FUNDAMENTOS DE BASE DE DATOS(2).pdf,FUNDAMENTOS DE BASE DE DATOS,SILBERSCHATZ,No indicada,ES,672,8971828,60ca2539694a8d852d22aba50f1a8ab068ff1119c9f39af41e590b8d6895e589,Base de datos y sistemas distribuidos,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",16933
DOC-000010,LOT-PRE-0001,source,Database System Concepts by Avi Silberschatz-2019(2).pdf,"Database System Concepts, Seventh Edition","Abraham Silberschatz, Henry F. Korth & S. Sudarshan",No indicada,EN,1373,16288017,2cda5df12b8a5ed4f93e69e95c876ff7d07f49ece352c3962157572030178b05,Base de datos y sistemas distribuidos,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",9283
