TAKEN=2026-09-15T11:41:35.4633884-05:00
HEAD|Gystigo|59bd77f0bf6a2aa6b1c3083097a8c8e0b258ff56|feature/gm-fleets-minimum-vehicle-master-01|staged=0
ENTRY|Gystigo|OWNER_WIP| M|AGENTS.md|C328F7F0FFF2B8AAF3576B3B7A9B4956EE63527EE084A13C39A065D7C0CEA27E|2026-09-13T08:38:16
ENTRY|Gystigo|OWNER_WIP| M|CHATGPT.md|FF4329A6557FA1C52DBEE9D6C02DC767E89AE16DAFFC605307ECE5207B45192C|2026-09-13T08:38:23
ENTRY|Gystigo|OWNER_WIP| M|CLAUDE.md|64BC4752A6A75E2B48640A2AE8C76F737171BA9CB93420ACD765CD53FF80EE73|2026-09-13T08:38:20
ENTRY|Gystigo|OWNER_WIP| D|README.md|NOT_A_FILE|-
ENTRY|Gystigo|OWNER_WIP| M|Reglas.md|BC7E00AEA0A36068539D98D5C30FAB615A20A4359004C62EA4B1999157F1C12D|2026-09-13T11:11:18
ENTRY|Gystigo|PKG2B| M|docs/testing/TEST_DATABASE_ISOLATION.md|CED6B9D85C6C74A2537207DC911D93A4B300525092FBAE0066E8F854C154D453|2026-09-15T06:27:59
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/server/src/main/java/com/gypport/server/module/expenses/AdvanceSettlementController.java|CC67FF7ED16DA042F597975705E53A169F217CD2A5F0E589792E07FD56168676|2026-09-13T10:51:02
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/server/src/main/java/com/gypport/server/module/expenses/ExpenseController.java|718B9B58B1BCEFA717A0297252CE4F48BB0DB716A7E5BE5497C64DF82C5A1A7E|2026-09-13T10:20:18
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/server/src/main/java/com/gypport/server/module/expenses/ExpenseReportController.java|36B92A8220382220E990CB9666F88015B2F3E5D570D812784D0BACCCFE4AC6E7|2026-09-15T10:28:19
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/server/src/main/java/com/gypport/server/module/expenses/ExpensesResponseFormatting.java|76312F42D7383E390B96918CC99D437F48B818ADC51DDE05DEB365EE27C5C226|2026-09-13T10:20:24
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/server/src/main/java/com/gypport/server/module/expenses/VehicleReferenceController.java|0A12D4A8D30036D8B92812749F9F3984DC0FF857C204E2349080E71FFCA53E09|2026-09-15T06:46:23
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/main/java/com/gypport/server/module/humanresources/EmployeeAccessGrantService.java|332DEA164004052A3C5DB030BD30811C9E86D038C1672B468810B0C0EC6A2E95|2026-09-15T05:42:22
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/main/java/com/gypport/server/module/onboarding/application/RegisterPersonAccountUseCase.java|2C7F56F97A857B63A2D0C0F286CA008EE848844920E1EA32A49B05FF7B8DD0F9|2026-09-15T05:53:16
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/main/java/com/gypport/server/module/organizations/ClaimOrganizationControlUseCase.java|D73ACA1D93D3497A766CF7C3389EC3E5C5B9E6F6A5501EE439B2CFF355C21276|2026-09-15T05:44:55
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/main/java/com/gypport/server/module/organizations/ConfirmOrganizationControlUseCase.java|38280051929CD4D7891F07D2211B478E0AAF40DBFE5D7C19E4D24BA90C07FF6E|2026-09-15T05:44:55
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/main/java/com/gypport/server/module/organizations/ReviewOrganizationControlUseCase.java|FAE4DE680029CFFD1410039A138988AB6CEE1E8290E74F7D66B6CADB5147BE48|2026-09-15T06:16:12
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/server/src/main/java/com/gypport/server/shared/config/GmExpensesConfig.java|2745B560174A232346503885FD527769DE26505A981EAB0ADBE1ABC121761A52|2026-09-13T11:29:02
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/main/java/com/gypport/server/shared/config/GmOrganizationsConfig.java|42ACF9090C69914A9F74B305479AEC5E1F1CAADAC075486AE030014F7856087A|2026-09-15T05:44:08
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/entities/GmEntitiesHostIntegrationTest.java|CE29E4164029900375FB71F6C4D6E9BCAF0A3CC668F0C3613F7DC9E9D8CECE55|2026-09-15T05:42:36
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/expenses/ExpenseCaseHttpApiTest.java|B38682A66CF11B073AB494E32C6DFC45D275862ED99A39CFE55AEF4A7F6BD49A|2026-09-15T10:28:19
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/expenses/GmExpensesHostIntegrationTest.java|0111537245722DDF73C770AA41F666E62A83FC0BE83212E537DC2F61459A9FDA|2026-09-13T10:59:12
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/humanresources/EmployeeAccessRevocationRealDatabaseAcceptanceTest.java|9653271E8EF26FE94B470C001A7E2640DA912B8E59C87A2EE39853FD76459AA3|2026-09-15T05:56:15
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/humanresources/EmployeeEmploymentUpdateRealDatabaseAcceptanceTest.java|BCEAB9AFFB7466453091C1D424E5884995F5E70F6ECC88E53CE5A067006F67FA|2026-09-15T05:56:59
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/humanresources/TeamEmployeeRealDatabaseAcceptanceTest.java|BD17BDFB1DD3FB304B7FE63D792FB301628B041DBCEC11438EE2A2C5F4295223|2026-09-15T05:57:12
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/onboarding/application/RegisterPersonAccountUseCaseTest.java|25AB23323DD43DF34DE0A6923AE2462AB4ECD87DD708F0AF5F73F55ABC61C362|2026-09-15T05:53:30
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/organizations/ClaimOrganizationControlUseCaseTest.java|4514D844009BE6BA9F353B5D8AE222C2B2C0D916C59B421E591366FB19849915|2026-09-15T05:44:00
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/organizations/ConfirmOrganizationControlUseCaseTest.java|78498F558D1F8843D04EAB2DC59CF43012472E143DCDAAA19992DAF93158216B|2026-09-15T05:44:00
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/organizations/GmOrganizationsRealDatabaseAcceptanceTest.java|05DDF5F4A3084923FAD77FEB5699E7FFC980A38CA3BE8A878348673577FC53CA|2026-09-15T05:57:53
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/organizations/OrganizationControlActivationRealDatabaseAcceptanceTest.java|A97B5CCE642EB39B9CA77A5CB7D461AB71A457B3E45AFE1BCF4479750C6C1109|2026-09-15T06:16:37
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/organizations/ReviewOrganizationControlUseCaseTest.java|B286565D99A5DFF59535A18B633C039C7339D0AD24C732F4E9A2796C32831BD9|2026-09-15T06:16:22
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/platform/PlatformAdminRealDatabaseAcceptanceTest.java|F4F2BE034A7D92842A73BAA2900DB290675B073CCD6068021D9D8A3786D261C2|2026-09-15T05:57:22
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/profile/application/MyProfileServiceTest.java|955DA896A8F8D8E88A6868F10ED59E9394D1F1E50BE281FD03194CF1F988FEF0|2026-09-15T05:42:26
ENTRY|Gystigo|OTHER_UNRELATED_WIP| M|platform_os/server/src/test/java/com/gypport/server/module/profile/application/ProfileIdentityServiceTest.java|B0718FAA486452076990FD60971F894383A0A4FCF8D541C3D5F863E9AE2ED2F7|2026-09-15T05:42:31
ENTRY|Gystigo|OWNER_WIP| M|platform_os/studio/channel/browser/shell/src/application/AuthPage.css|7FB8D2BE1392AE3A85CC8E2B817D1DC9E69DB103D06EB05EC02BD551302AFCE2|2026-08-29T11:40:23
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/AdvanceDetailPage.jsx|1B73C6BAC5B21A51C90292E0B62E11862805DE7B294CB1CAED37C326D5A97CE7|2026-09-13T10:45:47
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/ExpenseDetailPage.css|CD02C9FDDD1B99BE967590057FCA976AD8633C9787E275EE5233309AB0D88FBB|2026-09-13T10:28:17
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/ExpenseDetailPage.jsx|99ABA579370D1EE67677CC8AF047D0622ADFF4523901E4C3F99205B7D07E0216|2026-09-13T10:27:05
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/ExpenseReportsPage.jsx|09ED5D3F2B7BAD5A58C2A87DCFF2A607A63B12B41FCAAB18030F699B48F654B8|2026-09-15T10:30:33
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/cases/ExpenseCaseCard.jsx|B8AB9971CFAF18305AE0F61288B3CE0B7EBB9C710E2944907FEB0B909737F7F7|2026-09-15T06:47:29
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/cases/ExpenseCaseDetailPage.jsx|849B055527BB16AC45A5617832276BAFC9D42F424B46AECA77DD01E416A9A309|2026-09-15T06:48:17
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/cases/ExpenseCaseListPage.jsx|A591A13ED07D195DF78FBBB3EDEA26B08AA1FCE8DE6D31B6314B3CD7CC107D2E|2026-09-15T06:47:31
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/cases/ExpenseCases.css|99FE6D3916D5310331BC854DCC8D19DE2A87B2D90533A3BC8628ED8129D88329|2026-09-15T10:52:31
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/cases/NewCaseExpensePage.jsx|2D4B12C51FAA37A2D5E0E53D312FF1A1889C1D6F954CC173E6F44DB93F740E26|2026-09-13T10:28:07
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/cases/NewExpenseCasePage.jsx|F3B71627C9E52E85C829633871C39820EAD291293761EF49BF6FCD5238AF00E8|2026-09-15T06:47:46
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/cases/caseRules.js|7FC00FA3BE52F3D3A83350B0E0D5FF7EC6A029D848E470F54F5E2CD39C27BF6E|2026-09-13T10:27:09
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/channel/browser/shell/src/application/expenses/expenseService.js|11768C5FF145A80B48840922F12A366D70D6BD1880C6B91E756AC7A77A3DCE9B|2026-09-15T06:47:16
ENTRY|Gystigo|OWNER_WIP| M|platform_os/studio/channel/browser/shell/src/application/onboarding/ShortRegisterPage.jsx|AC7F488BA8845FF5CDBA10734CF897AF729816A805D5F4AD141F58C40F640B82|2026-08-29T11:39:41
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/verification/contracts/browser/ExpenseCaseCard.contract.mjs|7BD39E5591DA7C5C3E157747DA4E773B366B2EC4F63DF3B82667332922E55A6E|2026-09-15T06:53:17
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/verification/contracts/browser/ExpenseOperationIdBoundary.contract.mjs|00B82D5908BD75CBE6B60661E6F4F017B5BD3EBD4D4433C26E57C6FB2792A7C9|2026-09-13T10:29:18
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/verification/contracts/browser/ExpensesUixCompliance.contract.mjs|2ED271197B1709E605FF57724E9D53C889E31150FEBC513AF07E5C60601C0B97|2026-09-15T10:26:16
ENTRY|Gystigo|GM_EXPENSES_WIP| M|platform_os/studio/verification/integration/browser/expenses-uix/fixture.jsx|BA019E00D214752388B9BD8FDB0ED400BCE956189C274679EE9F64EEF9DF5694|2026-09-15T10:28:00
ENTRY|Gystigo|OWNER_WIP|??|CODEX.md|3CD183908824EC2934F3F19453F119A0561AF1B5A7DDF8AE454E79316D290F75|2026-09-13T08:38:26
ENTRY|Gystigo|OTHER_UNRELATED_WIP|??|database/core/migration/V57__tenant_access_subject_membership_fks.sql|8B67D2CFD225D3CAAAD669FC7495CAFD0DD274ECF32866A7D4B1BF764AB3EC4F|2026-09-15T05:53:07
ENTRY|Gystigo|OTHER_UNRELATED_WIP|??|database/core/migration/V58__global_user_account_actor_fks.sql|DF2AFDF88A513CD87A64677E33AD4B5DD4F2798893C64FEF8296E6DEEAB61DDC|2026-09-15T06:22:06
ENTRY|Gystigo|OWNER_WIP|??|docs/ai/decisions/OWNER_ACCEPTANCE_AND_FREEZE_GM_EXPENSES_MVP_19.md|D7713DF266008348FF31F2DFD5BF85C80B42757E0F5A4AD24B2ABF8C95235197|2026-09-04T07:16:38
